circuito_nro,circuito_name,seccion_nro,seccion_name,distrito_nro,distrito_name
933A,933A - Tandil,111,Tandil,1,Buenos Aires
933B,933B - Tandil,111,Tandil,1,Buenos Aires
933C,933C - Tandil,111,Tandil,1,Buenos Aires
933D,933D - Tandil,111,Tandil,1,Buenos Aires
933E,933E - Tandil,111,Tandil,1,Buenos Aires
933F,933F - Tandil,111,Tandil,1,Buenos Aires
933G,933G - Tandil,111,Tandil,1,Buenos Aires
933H,933H - Tandil,111,Tandil,1,Buenos Aires
933I,933I - Tandil,111,Tandil,1,Buenos Aires
933J,933J - Tandil,111,Tandil,1,Buenos Aires
933K,933K - Tandil,111,Tandil,1,Buenos Aires
933L,933L - Tandil,111,Tandil,1,Buenos Aires
933M,933M - Cuartel 10,111,Tandil,1,Buenos Aires
934,934 - Fulton / Aguirre,111,Tandil,1,Buenos Aires
935,935 - Iraola,111,Tandil,1,Buenos Aires
936,936 - Cuartel 4 / Cuartel 5,111,Tandil,1,Buenos Aires
937,937 - Maria Ignacia / Vela,111,Tandil,1,Buenos Aires
938,938 - Azucena,111,Tandil,1,Buenos Aires
939,939 - De La Canal / Cuartel 11 / Cuartel 12,111,Tandil,1,Buenos Aires
940,940 - Gardey / Cuartel 9,111,Tandil,1,Buenos Aires