escuela_nro,distrito_nro,seccion_nro,circuito_nro,escuela,direccion,localidad,latitud,longitud
1,1,111,933A,ESCUELA EP N°25/ES N°13 ANEXO,CHAPALEUFU 3200 ,TANDIL,,
2,1,111,933A,ESCUELA EP N°47/ES N°4 EXTENSION,UGALDE PEDRO DE GDOR. 1457 ,TANDIL,,
3,1,111,933A,ESCUELA EP N°59,INDEPENDENCIA 2740 ,TANDIL,,
4,1,111,933A,ESCUELA ES N°4/EST NRO. 1,MACAYA LUIS (COLECTORA NORTE) 2094 ,TANDIL,,
5,1,111,933B,ESCUELA EP N°32,PALACIOS ALFREDO DR. 1597 ,TANDIL,,
6,1,111,933B,ESCUELA EP N 8,REFORMA UNIVERSITARIA 1515 ,TANDIL,,
7,1,111,933B,CAMPUS UNIVERSITARIO - Económicas,LOS OMBUES 1100 ,TANDIL,,
8,1,111,933B,JARDIN SAN FRANCISCO DE ASIS ,ROSALES 1703,TANDIL,,
9,1,111,933B,CAMPUS UNIVERSITARIO - Exactas,LOS OMBUES 1100 ,TANDIL,,
10,1,111,933B,CAMPUS UNIVERSITARIO - Humanas,LOS OMBUES 1100 ,TANDIL,,
11,1,111,933C,ESCUELA EP N°53,TWEESDALE ANA 1220 ,TANDIL,,
12,1,111,933C,COLEGIO SAN IGNACIO,GARDEL CARLOS 1661 ,TANDIL,,
13,1,111,933C,COLEG.STO.DOMINGO EN LA SIERRA,POZOS 635 ,TANDIL,,
14,1,111,933D,ESCUELA ES N°1,FUGL JUAN 601 ,TANDIL,,
15,1,111,933D,CENTRO DE FORMACION LABORAL Nº1,SANDINO 118 E/ JUNCAL Y CALLAO),TANDIL,,
16,1,111,933E,ESCUELA EP N°10,BOLIVIA 400 ,TANDIL,,
17,1,111,933E,JARDIN DE INFANTES Nª 924,BOLIVIA 410,TANDIL,,
18,1,111,933E,JARDIN DE INFANTES SAN JOSE,TABORIN 1655 ,TANDIL,,
19,1,111,933E,ESC SECUNDARIA Nª 20,AV RIVADAVIA 102,TANDIL,,
20,1,111,933F,ESCUELA EP N°22/ ES N°15,JUSTO JUAN B. DR. 874 ,TANDIL,,
21,1,111,933F,ESCUELA EP N°42,CHEVERRIER ARNALDO (B° BELGRANO) 222 ,TANDIL,,
22,1,111,933F,CENTRO EDUCATIVO COMPLEMENTARIO N° 801,AV. BRANDSEN CNEL. 969,TANDIL,,
23,1,111,933F,JARDIN DE INFANTES N° 904,VIAMONTE JUAN J. 100 ,TANDIL,,
24,1,111,933G,ESCUELA EP N°36/ ES N° 17,ALIGHIERI DANTE 590 ,TANDIL,,
25,1,111,933G,ESCUELA EP N° 4,MADERNI ABELARDO 2798 ,TANDIL,,
26,1,111,933G,ESC SECUNDARIA Nª 16,MADERNI ABELARDO 2798 ,TANDIL,,
27,1,111,933H,ESCUELA EP N°14,ENTRE RIOS 522 ,TANDIL,,
28,1,111,933H,ESCUELA ES N°7,SAENZ PEÑA ROQUE PDTE. 2154 ,TANDIL,,
29,1,111,933I,ESCUELA ES N°2,URQUIZA JUSTO JOSE DE GRAL. 250 ,TANDIL,,
30,1,111,933I,ESCUELA EP N°21/ ES N°2 ANEXO,AMEGHINO FLORENTINO 355 ,TANDIL,,
31,1,111,933I,COLEGIO NTRA SRA DE BEGOÑA,SAENZ PEÑA ROQUE PDTE. 742,TANDIL,,
32,1,111,933I,ESCUELA EP N°56,LA MOVEDIZA 921 ,TANDIL,,
33,1,111,933I,JARDÍN DE INFANTES N°923,LA MOVEDIZA 939,TANDIL,,
34,1,111,933I,JARDÍN DE INFANTES N°903,LOPEZ VICENTE 732,TANDIL,,
35,1,111,933J,ESCUELA ES N°19/ EP N°58,CABRAL JOSE ANTONIO 629 ,TANDIL,,
36,1,111,933J,JARDIN DE INFANTES N° 906,CABRAL JOSE ANTONIO 654 ,TANDIL,,
37,1,111,933J,COLEGIO ESTRELLA DE BELÉN-,MITRE BARTOLOME 643 ,TANDIL,,
38,1,111,933K,ESCUELA EP N°1/ES N°1 ANEXO,BELGRANO MANUEL GRAL. 557 ,TANDIL,,
39,1,111,933K,ESCUELA EST N°3,YRIGOYEN HIPOLITO PTE. 636 ,TANDIL,,
40,1,111,933K,COLEGIO SAN JOSE,MAIPU 450 ,TANDIL,,
41,1,111,933K,ESCUELA EP N°11,MACHADO BENITO CNEL. 640 ,TANDIL,,
42,1,111,933K,COLEGIO DE LA SIERRA-,MITRE BARTOLOME 338 ,TANDIL,,
43,1,111,933L,ESCUELA ES N°10/ EP N°68,SANTAMARINA RAMON DR. 851 ,TANDIL,,
44,1,111,933L,ESCUELA EST N°2,ALEM LEANDRO N. 285 ,TANDIL,,
45,1,111,933L,ESC BRIG MARTIN RODRIGUEZ,MARCONI GUILLERMO INT. 1700 ,TANDIL,,
46,1,111,933L,ESCUELA EP N°34,CONSTITUCION 1450,TANDIL,,
47,1,111,933L,ESCUELA EP N°37/ES N° 18,11 DE SEPTIEMBRE 1461 ,TANDIL,,
48,1,111,933L,ESCUELA EP N°5,MARCONI GUILLERMO INT. 1550 ,TANDIL,,
49,1,111,933L,ESCUELA EP N°2,ESPAÑA 851 ,TANDIL,,
50,1,111,933L,ESCUELA ES N°8,4 DE ABRIL 890 ,TANDIL,,
51,1,111,933L,ESC EP Nª 67,RIVAS Y COLOMBIA,TANDIL,,
52,1,111,933L,COLEGIO SAGRADA FAMILIA-,PAZ JOSE MARIA GRAL. 682 ,TANDIL,,
53,1,111,933M,JARDIN DE INFANTES N°920-,VI BRIGADA AEREA S/N ,CUARTEL 10°,,
54,1,111,934,ESCUELA EP N°44/EST N°2 ANEXO,LOS ARRIEROS S/N ,FULTON                                            ,,
55,1,111,935,ESCUELA EP N°25/ES N°13 ANEXO,CHAPALEOFU Y PUJOL - PARAJE EL MOLINO S/N,IRAOLA                                            ,,
56,1,111,936,JARDIN DE INFANTES N° 904,VIAMONTE JUAN J. 100,LA NUMANCIA,,
57,1,111,937,ESCUELA EP N°13,AVELLANEDA 477 ,MARIA IGNACIA                                     ,,
58,1,111,938,ESCUELA EP N°28/ES N°12,LOS CEIBOS S/N ,AZUCENA                                           ,,
59,1,111,939,ESCUELA EP N°15,AV. DEL TRABAJADOR RURAL S/N ,DE LA CANAL                                       ,,
60,1,111,940,ESCUELA EP N°19,9 DE JULIO N°616 ,GARDEY,,
61,1,111,933I,JARDIN DE INFANTES VIRGEN DE BEGOÑA,SAENZ PEÑA 754,TANDIL,,
62,1,111,933J,COLEGIO DAL,SAN MARTIN 221,TANDIL,,
63,1,111,933K,ESCUELA EST N°5,AV. PERON JUAN D. PDTE. 937,TANDIL,,